variant,construction,scaling,metric,value
per_feature,long_only,scaled,max_drawdown,0.0022299705778721876
per_feature,long_only,unscaled,max_drawdown,0.0028450194011043466
per_feature,long_only,scaled,n_rebalances,10.0
per_feature,long_only,unscaled,n_rebalances,10.0
per_feature,long_short,scaled,cumulative_return,1.7778003930626163
per_feature,long_short,unscaled,cumulative_return,12.971400324052377
per_feature,long_short,scaled,annualised_return,0.22670520213133583
per_feature,long_short,unscaled,annualised_return,0.6945250265476886
per_feature,long_short,scaled,annualised_vol,0.1128557339692468
per_feature,long_short,unscaled,annualised_vol,0.34537255070831435
per_feature,long_short,scaled,sharpe_ratio,1.950550659943917
per_feature,long_short,unscaled,sharpe_ratio,1.8570824002852144
per_feature,long_short,scaled,max_drawdown,0.0037343206545650933
per_feature,long_short,unscaled,max_drawdown,0.006475861123695558
per_feature,long_short,scaled,n_rebalances,10.0
per_feature,long_short,unscaled,n_rebalances,10.0
per_feature,country_composite_long_only,scaled,cumulative_return,0.9906040133478364
per_feature,country_composite_long_only,unscaled,cumulative_return,1.7027728930505837
per_feature,country_composite_long_only,scaled,annualised_return,0.14761700557316537
per_feature,country_composite_long_only,unscaled,annualised_return,0.22000584374312115
per_feature,country_composite_long_only,scaled,annualised_vol,0.09619730333926776
per_feature,country_composite_long_only,unscaled,annualised_vol,0.11319246532040385
per_feature,country_composite_long_only,scaled,sharpe_ratio,1.5206252783013379
per_feature,country_composite_long_only,unscaled,sharpe_ratio,1.8908891515238455
per_feature,country_composite_long_only,scaled,max_drawdown,0.008284175598849447
per_feature,country_composite_long_only,unscaled,max_drawdown,0.0027613918662830524
per_feature,country_composite_long_only,scaled,n_rebalances,10.0
per_feature,country_composite_long_only,unscaled,n_rebalances,10.0
per_feature,country_composite_long_short,scaled,cumulative_return,1.0095764649770018
per_feature,country_composite_long_short,unscaled,cumulative_return,2.5341301305078288
per_feature,country_composite_long_short,scaled,annualised_return,0.14979630107419784
per_feature,country_composite_long_short,unscaled,annualised_return,0.2872310507743263
per_feature,country_composite_long_short,scaled,annualised_vol,0.07066530744932441
per_feature,country_composite_long_short,unscaled,annualised_vol,0.13975595039643876
per_feature,country_composite_long_short,scaled,sharpe_ratio,2.075507654533344
per_feature,country_composite_long_short,unscaled,sharpe_ratio,1.9805398629482243
per_feature,country_composite_long_short,scaled,max_drawdown,0.005389631458755396
per_feature,country_composite_long_short,unscaled,max_drawdown,0.006598006818635783
per_feature,country_composite_long_short,scaled,n_rebalances,10.0
per_feature,country_composite_long_short,unscaled,n_rebalances,10.0
per_feature,long_only_monthly,scaled,cumulative_return,2.4614359515556252
per_feature,long_only_monthly,unscaled,cumulative_return,6.622759436960961
per_feature,long_only_monthly,scaled,annualised_return,0.28189147698173067
per_feature,long_only_monthly,unscaled,annualised_return,0.5011443045874941
per_feature,long_only_monthly,scaled,annualised_vol,0.08952682334892796
per_feature,long_only_monthly,unscaled,annualised_vol,0.14951755404725117
per_feature,long_only_monthly,scaled,sharpe_ratio,2.8456769700722235
per_feature,long_only_monthly,unscaled,sharpe_ratio,2.8340217861642447
per_feature,long_only_monthly,scaled,max_drawdown,0.04385794195941564
per_feature,long_only_monthly,unscaled,max_drawdown,0.07844712533586791
per_feature,long_only_monthly,scaled,n_rebalances,60.0
per_feature,long_only_monthly,unscaled,n_rebalances,60.0
per_feature,long_short_monthly,scaled,cumulative_return,1.8671803664911835
per_feature,long_short_monthly,unscaled,cumulative_return,17.936412245530956
per_feature,long_short_monthly,scaled,annualised_return,0.23449974004768248
per_feature,long_short_monthly,unscaled,annualised_return,0.800775361402567
