variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
linear,long_only,scaled,2025-06-30,0.009541,2.93699,0.0,3.5177,10.6649
linear,long_only,scaled,2025-07-31,0.030721,3.027217,0.0,3.4071,12.7427
linear,long_only,scaled,2025-08-31,0.015828,3.075131,0.0,3.4327,12.9104
linear,long_only,scaled,2025-09-30,0.031984,3.173487,0.0,3.8456,15.9711
linear,long_only,scaled,2025-10-31,0.033263,3.279045,0.0,5.7413,20.4967
linear,long_only,scaled,2025-11-30,0.021354,3.349067,0.0,6.011,21.3782
linear,long_only,scaled,2025-12-31,0.111299,3.721815,0.0,3.2841,32.0942
linear,long_short,unscaled,2021-01-31,0.03913,1.03913,0.0,,
linear,long_short,unscaled,2021-02-28,0.156588,1.201845,0.0,,
linear,long_short,unscaled,2021-03-31,0.018843,1.224492,0.0,,
linear,long_short,unscaled,2021-04-30,0.114515,1.364715,0.0,,
linear,long_short,unscaled,2021-05-31,0.242842,1.696126,0.0,,
linear,long_short,unscaled,2021-06-30,0.361621,2.30948,0.0,,
linear,long_short,unscaled,2021-07-31,0.139375,2.631363,0.0,,
linear,long_short,unscaled,2021-08-31,0.149824,3.025604,0.0,,
linear,long_short,unscaled,2021-09-30,0.20952,3.659529,0.0,,
linear,long_short,unscaled,2021-10-31,0.105747,4.046514,0.0,,
linear,long_short,unscaled,2021-11-30,0.1338,4.587937,0.0,,
linear,long_short,unscaled,2021-12-31,0.326133,6.084216,0.0,5.5725,199.7939
linear,long_short,unscaled,2022-01-31,-0.016532,5.983629,-0.016532,5.0639,194.2276
linear,long_short,unscaled,2022-02-28,0.093891,6.545441,0.0,4.8248,187.958
linear,long_short,unscaled,2022-03-31,0.00952,6.607756,0.0,4.7558,187.0256
linear,long_short,unscaled,2022-04-30,0.004066,6.634624,0.0,4.1851,175.9808
linear,long_short,unscaled,2022-05-31,0.207157,8.009032,0.0,4.1743,172.4122
linear,long_short,unscaled,2022-06-30,0.067431,8.549092,0.0,4.1759,142.9933
linear,long_short,unscaled,2022-07-31,0.0151,8.678185,0.0,3.6606,130.5658
linear,long_short,unscaled,2022-08-31,0.25779,10.915333,0.0,3.6679,141.3624
linear,long_short,unscaled,2022-09-30,0.164457,12.710433,0.0,3.6375,136.8561
linear,long_short,unscaled,2022-10-31,0.214524,15.437128,0.0,3.7966,147.7338
linear,long_short,unscaled,2022-11-30,0.150558,17.76131,0.0,3.8312,149.4096
linear,long_short,unscaled,2022-12-31,0.062856,18.87772,0.0,3.7879,123.0819
linear,long_short,unscaled,2023-01-31,0.063887,20.083769,0.0,4.3431,131.1239
linear,long_short,unscaled,2023-02-28,0.113847,22.370239,0.0,4.4158,133.1194
linear,long_short,unscaled,2023-03-31,0.073658,24.017975,0.0,4.9087,139.5331
linear,long_short,unscaled,2023-04-30,0.023605,24.584909,0.0,5.1188,141.487
linear,long_short,unscaled,2023-05-31,0.073439,26.390395,0.0,4.9043,128.1152
linear,long_short,unscaled,2023-06-30,-0.059879,24.810174,-0.059879,3.7362,115.3841
linear,long_short,unscaled,2023-07-31,-0.030207,24.06074,-0.088277,3.4139,110.8535
linear,long_short,unscaled,2023-08-31,0.003173,24.137081,-0.085384,3.0501,85.3918
linear,long_short,unscaled,2023-09-30,0.208117,29.160412,0.0,3.0058,89.7578
linear,long_short,unscaled,2023-10-31,-0.123146,25.569438,-0.123146,1.7684,55.9908
linear,long_short,unscaled,2023-11-30,0.090843,27.892248,-0.043489,1.6647,50.0193
linear,long_short,unscaled,2023-12-31,0.195897,33.356268,0.0,1.8744,63.3234
linear,long_short,unscaled,2024-01-31,-0.078347,30.74291,-0.078347,1.3571,49.1
linear,long_short,unscaled,2024-02-29,0.152638,35.435448,0.0,1.4231,52.9791
linear,long_short,unscaled,2024-03-31,0.199758,42.513949,0.0,1.6265,65.5892
linear,long_short,unscaled,2024-04-30,0.217396,51.756301,0.0,1.9647,84.9683
linear,long_short,unscaled,2024-05-31,0.098941,56.877115,0.0,2.0194,87.5185
linear,long_short,unscaled,2024-06-30,0.078837,61.36115,0.0,2.482,101.3901
linear,long_short,unscaled,2024-07-31,0.082786,66.441,0.0,2.8965,112.6894
linear,long_short,unscaled,2024-08-31,-0.116439,58.704655,-0.116439,2.3148,100.7281
linear,long_short,unscaled,2024-09-30,-0.006492,58.323557,-0.122175,1.8827,79.2673
linear,long_short,unscaled,2024-10-31,-0.04554,55.667474,-0.162152,2.2377,87.0278
linear,long_short,unscaled,2024-11-30,0.173765,65.340539,-0.016563,2.3723,95.32
linear,long_short,unscaled,2024-12-31,0.042413,68.111809,0.0,2.093,79.9715
linear,long_short,unscaled,2025-01-31,0.1203,76.305649,0.0,2.8511,99.8362
linear,long_short,unscaled,2025-02-28,0.196206,91.277265,0.0,2.8775,104.193
linear,long_short,unscaled,2025-03-31,-0.051519,86.574745,-0.051519,2.1734,79.0653
linear,long_short,unscaled,2025-04-30,-0.034841,83.558409,-0.084565,1.6046,53.8416
linear,long_short,unscaled,2025-05-31,-0.082052,76.702268,-0.159678,1.015,35.7423
