variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
ple,long_short,unscaled,2023-03-31,0.005102,20.294282,0.0,3.2947,129.2426
ple,long_short,unscaled,2023-04-30,0.008514,20.467072,0.0,3.4988,132.9204
ple,long_short,unscaled,2023-05-31,0.002938,20.527211,0.0,3.0744,121.3145
ple,long_short,unscaled,2023-06-30,-0.07777,18.930803,-0.07777,2.4893,107.6381
ple,long_short,unscaled,2023-07-31,0.045534,19.792799,-0.035778,2.4476,106.1654
ple,long_short,unscaled,2023-08-31,0.117098,22.1105,0.0,2.3603,88.7258
ple,long_short,unscaled,2023-09-30,0.175365,25.987908,0.0,2.3936,91.7432
ple,long_short,unscaled,2023-10-31,0.018605,26.47141,0.0,2.0685,66.4403
ple,long_short,unscaled,2023-11-30,0.115803,29.536887,0.0,2.0055,60.9705
ple,long_short,unscaled,2023-12-31,0.151193,34.002658,0.0,3.0652,84.9839
ple,long_short,unscaled,2024-01-31,-0.057706,32.040486,-0.057706,2.2158,64.479
ple,long_short,unscaled,2024-02-29,0.111804,35.622745,0.0,2.1776,61.648
ple,long_short,unscaled,2024-03-31,0.130378,40.267182,0.0,2.5717,74.1757
ple,long_short,unscaled,2024-04-30,0.082342,43.582847,0.0,2.8824,81.5584
ple,long_short,unscaled,2024-05-31,0.064551,46.39617,0.0,3.2006,87.7197
ple,long_short,unscaled,2024-06-30,0.115613,51.760189,0.0,4.8435,107.0581
ple,long_short,unscaled,2024-07-31,0.066886,55.222236,0.0,5.022,109.1933
ple,long_short,unscaled,2024-08-31,-0.041196,52.947293,-0.041196,3.7103,93.3639
ple,long_short,unscaled,2024-09-30,0.046992,55.435394,0.0,3.5154,80.5266
ple,long_short,unscaled,2024-10-31,-0.019254,54.36802,-0.019254,3.1889,76.7406
ple,long_short,unscaled,2024-11-30,0.194625,64.949403,0.0,3.1311,84.6228
ple,long_short,unscaled,2024-12-31,0.020406,66.274729,0.0,2.7614,71.5441
ple,long_short,unscaled,2025-01-31,0.118961,74.158838,0.0,3.8709,89.2108
ple,long_short,unscaled,2025-02-28,0.087174,80.62357,0.0,3.8149,86.7478
ple,long_short,unscaled,2025-03-31,0.027854,82.869293,0.0,3.4478,76.4954
ple,long_short,unscaled,2025-04-30,0.026387,85.055935,0.0,3.168,70.8999
ple,long_short,unscaled,2025-05-31,0.072991,91.264282,0.0,3.2003,71.7439
