variant,window,n_months,b1_base,t_b1_base,p_b1_base,b1_full,t_b1_full,p_b1_full,b2_full,t_b2_full,p_b2_full,r2_base,r2_full,corr_base_path2,entropy_ratio,t_entropy,p_entropy,missingness_excess,t_missingness,p_missingness,rc_base,t_rc_base,p_rc_base,rc_path2,t_rc_path2,p_rc_path2,rc_combined,t_rc_combined,p_rc_combined
linear,period_late,34,0.02211221127723375,1.4183955130596788,0.16545073036949387,0.028114097070849057,1.981821149050475,0.05587929436112393,-0.006865658890755582,-0.4696276703260558,0.6417095386186185,0.0162621049867561,0.021718139978489783,0.8298740915290315,0.760658543483428,-159.22803251021298,0.0,-0.0023230542938130266,-3.402705393702286,0.0017651320736935538,0.10623860760668047,2.199065006310982,0.03498934902811346,0.09309261542077688,1.9417527704932596,0.06074453909065558,0.09587312895088568,1.9809111254605327,0.05598591204553327
per_feature,val,60,0.030970798566957555,3.5721186391462516,0.0007127342390953473,0.021581837214824196,2.695099082687886,0.009152545201306594,0.023879739610847786,5.882603558743641,2.0237226427965993e-07,0.013948754066035688,0.019244247291220998,0.38550432052749095,0.9989172065475931,-80.57661447967249,0.0,-0.0006182812658371888,-28.2106068805966,0.0,0.09944469370861517,2.8239819932621195,0.006458977849071346,0.13084270015180396,5.6761763268119,4.426655810796376e-07,0.13068101147043854,5.225644582308353,2.382504473041891e-06
per_feature,test,54,0.03907367570510548,4.561275666297831,3.0441012098370024e-05,0.0320054941287122,3.7403753115862686,0.00045262783923050165,0.013610179587977854,3.531156461997042,0.000865669305258665,0.01608389438817051,0.018473197359292814,0.5140938905993748,0.9988260418412945,-126.87390783776318,0.0,-0.0004620848528062408,-16.579433112149477,0.0,0.11756504825808754,4.5033384124773415,3.7086468255731475e-05,0.11775282070697947,6.080740274593663,1.346494853393665e-07,0.12300995311824926,6.158833117993669,1.0106422942968152e-07
per_feature,pooled,114,0.034809003527132884,5.495204234374893,2.442830897564363e-07,0.02651935891087641,4.329325477681781,3.249425736639999e-05,0.019015211178962033,6.289925189241079,6.185118195389805e-09,0.014960136323889026,0.018879013112939227,0.4464151695089096,0.9988740232656622,-84.41818537342904,0.0,-0.0005442934912435819,-21.727219571191075,0.0,0.10802801954783893,4.779606989592071,5.32808322328826e-06,0.12464223094109764,8.177630923535581,4.747313653297169e-13,0.12704735225098046,7.833044069845387,2.8326230250286244e-12
per_feature,vol_high,57,0.04141516414703855,4.4773484779155455,3.7630231139118564e-05,0.03362542937485126,3.69152375134395,0.0005067439929269391,0.017199852205061244,4.389499288116488,5.08642295313777e-05,0.016887136017239866,0.020156394318240088,0.4553445870136673,0.9988586654046548,-93.63045453281028,0.0,-0.000545215626367627,-17.21641492587622,0.0,0.12578951000448513,4.129972222250261,0.00012209242085625682,0.12212465694030347,6.12476451106805,9.518716725942511e-08,0.1264420026744168,5.961084766677082,1.7585208422765675e-07
per_feature,vol_low,57,0.028202842907227226,4.642487438803791,2.1222992029334975e-05,0.01941328844690157,3.330616973361397,0.001538288431242485,0.020830570152862816,6.683752390928669,1.1512131026236716e-08,0.013033136630538183,0.017601631907638363,0.4374857520041519,0.9988893811266696,-55.269662104504086,0.0,-0.0005433713561195368,-20.141044806020364,0.0,0.0902665290911927,3.6150101715721425,0.0006444095507982528,0.12715980494189177,7.690744222971926,2.4995938652239147e-10,0.12765270182754412,7.109127744821038,2.284780586947477e-09
per_feature,period_early,40,0.0333713547704289,3.877334812977406,0.0003944546392300463,0.02218109102003582,2.7323515115317463,0.009399686287763442,0.027785846231661953,6.09126311625119,3.8677934521835766e-07,0.016146688801504903,0.022813518427193803,0.39791613010357824,0.9989249371740871,-55.92869409048671,0.0,-0.0006097362871989099,-19.87037169719306,0.0,0.11760901202434311,3.3433354149584202,0.0018367166462260887,0.1532113278817771,6.2912410317207215,2.0410262968617587e-07,0.153997564415183,5.924352833445003,6.596739172692878e-07
per_feature,period_mid,40,0.04578441830939413,3.580400380355173,0.0009380601720072601,0.039626550976392914,3.1363006425579965,0.003249106884828379,0.014879313607438698,3.501964803585993,0.0011740394304535773,0.019697928209761576,0.02215059473911406,0.4003617159967507,0.9988688232061321,-80.61125566456334,0.0,-0.000591664414056229,-24.583538980358572,0.0,0.113608943024885,2.623948649766117,0.012343027117871719,0.10959674762449419,4.897029716976409,1.7323615212561094e-05,0.11453139344792436,4.473863318274038,6.481045283313058e-05
per_feature,period_late,34,0.023588102320594953,2.92533631537561,0.006181178748583704,0.016202977528904757,2.541267544075144,0.01592849021261733,0.013562578848166036,2.706075025699146,0.01069211238867207,0.007990319425667343,0.010401263771257566,0.5576533964706628,0.9988202422669624,-95.30948448588619,0.0,-0.0004115714691636112,-16.995803566548744,0.0,0.09019047136719156,2.5648688992072164,0.015055873493468486,0.10873209726571405,3.8402478802328015,0.0005282455052215695,0.11006587770845529,3.8043294609382396,0.000584223844058096
periodic,val,60,0.03892274497449892,3.253705790992524,0.0018873302592536945,0.03440192264014562,2.1118239302291997,0.03894592170088762,0.006458419401071503,0.7661758944158007,0.4466262913624397,0.022386449669670565,0.026661123743681313,0.6491607277240308,0.9970309906753698,-78.7209528675585,0.0,-0.0007437733375950441,-35.646467173182586,0.0,0.12002213184586345,3.1581284867697867,0.0025029965945979615,0.13831653224417087,6.409952037455233,2.674487986631391e-08,0.1397256065178366,5.878794131439474,2.0532801503492237e-07
