n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,country
667,0.029653839322306322,0.018146775715162766,0.02044565218946591,0.019236937126543223,0.024033751531799652,0.47867220609299244,0.5500604205099263,0.2470907287899989,0.28477701592641125,0.31546704395010783,,,fourier,2018-01-31,THA
389,0.036081277520742826,0.017213380785090493,0.027583803800796627,0.01576665074865643,0.019545507986652333,0.5389523656864792,0.5491659004870253,0.16240303835247255,0.24364777617633213,0.24474373584436396,,,fourier,2018-01-31,TUR
1896,0.014721075102101612,0.002847062540350609,0.0047955709564415985,0.01738878938323082,0.005525231442529255,0.570799031888073,0.6048789468699795,0.11594540302810519,0.17200899500527544,0.17246456500835658,,,fourier,2018-01-31,TWN
267,0.04176656396397137,0.037769102960357404,0.014386001814012117,0.06027859029279727,0.10020671839517925,0.45423361788897676,0.5667026866176005,0.22430804497408202,0.27844577904597145,0.2964755087450304,,,fourier,2018-01-31,ZAF
81,0.04617524424866689,0.06923910550012502,0.002747660937148122,0.07074212517058125,0.17050841728862942,0.6138857605249256,0.6396341463414634,0.22730352303523033,0.3818879855465221,0.38023938572719057,,,fourier,2018-02-28,ARE
191,0.027488537441706276,0.012845240106654332,0.01742469334797323,0.025225120757668407,0.02194046939479566,0.39896118597044283,0.38912234775420224,0.07281103609809865,0.18423635987875447,0.1838299118214384,,,fourier,2018-02-28,BRA
132,0.010356095691785468,0.0025687943631722554,0.018437254962134126,-0.012982438741875301,0.005041538921229938,0.6224685077293728,0.6188893468925609,-0.0053090811376349445,-0.025003554605942665,-0.021340679953736535,,,fourier,2018-02-28,CHL
3268,0.014743404122203593,0.006111307074151973,0.012696221269793272,0.0037497262558969873,0.006388788073394158,0.5459552811860519,0.5725387932994971,0.08281947731054445,0.08133572835191566,0.08539037451082424,,,fourier,2018-02-28,CHN
43,0.03302623732328501,0.0454792146574885,0.03469651024548431,-0.002970321382580333,0.04573076673352128,0.5623206067847619,0.5360918151615826,0.24588188975201034,0.04322201626863857,0.1570198423185856,,,fourier,2018-02-28,COL
189,0.02025751707420501,0.0054553754275998845,0.05126120377140284,-0.06250708549059457,0.04461795317748618,0.4960027563889091,0.5905295152775557,0.07659929966760876,0.024333884356280772,0.052228087950372384,,,fourier,2018-02-28,EGY
157,0.043101103675324395,0.018381615504212467,0.04136555995759875,0.022750133476425526,0.02347304730969202,0.07628718835970585,0.0645811497218415,0.06846668609951687,0.28122538591779905,0.2664243762365185,,,fourier,2018-02-28,GRC
30,0.027264440019148496,0.03429975849018996,0.015680454441885955,0.03377595758396039,0.08074768114721287,0.3429654229183122,0.4687430478309232,0.2636262513904338,0.43670745272525024,0.385539488320356,,,fourier,2018-02-28,HUN
502,0.01893560286017781,0.003190211599265247,0.006372209359303029,0.027769621440943592,0.008647078994011848,0.4524150078021674,0.5484770125341422,0.06764121580732156,0.20665558082219013,0.20358191143240795,,,fourier,2018-02-28,IDN
3329,0.012009327299649106,0.001223820147734811,0.0025719225146546842,0.03650687014616927,0.011777193842380185,0.2585103775591625,0.253127416103279,-0.07132483669306655,0.1395724268325829,0.10377348255704345,,,fourier,2018-02-28,IND
1482,-0.0020726628544681094,4.4228693653058926e-05,0.010829629715269896,-0.018162500148814948,0.0017265855659128748,0.7103808651901322,0.7510902602964967,0.013438299693581898,0.06601623640112322,0.05544383640060783,,,fourier,2018-02-28,KOR
143,0.04187729814243665,0.022297380937619793,0.032654125480454516,0.0329854955450191,0.035049638853552945,0.27961297866170487,0.32672198693325455,0.1671509241931777,0.163063462359237,0.17744344857020913,,,fourier,2018-02-28,KWT
117,0.005247774373670188,0.000779507640706667,0.009947678326472892,-0.009888215012901325,0.0029218820391908595,0.4753035756875888,0.5718578129448965,0.04202071063555576,-0.039031006009381225,-0.012281017248872303,,,fourier,2018-02-28,MEX
887,0.036225500523171805,0.02739244187618628,0.014620619555259964,0.049906319235901345,0.06963833860505397,0.4329087237584864,0.48643508959497866,0.18218708922465973,0.2840722185305723,0.28709871993023917,,,fourier,2018-02-28,MYS
72,0.0029029035462983196,9.989963119694245e-05,0.04567739285532473,-0.07536089077684384,0.04573668651363583,0.5675953252153549,0.5329924754003474,-0.09737743434857539,-0.01940795298195682,-0.07703687053567118,,,fourier,2018-02-28,PER
229,0.022654641068504334,0.007928219213554244,0.0405376776572796,-0.029988949965312033,0.016880635942810196,0.5963208651669972,0.639318297642721,0.14538786685719426,0.018278656580696096,0.03873572292226675,,,fourier,2018-02-28,PHL
