variant,characteristic,mean_abs_grad
fourier,be_gr1,6.645002070702808e-05
fourier,cash_gr1a,0.00013838878093035118
fourier,debtst_gr1a,0.00038879940902309795
fourier,ap_gr1a,0.00011982555231346245
fourier,debtlt_gr1a,0.0001034999466598189
fourier,fna_gr1a,0.0004434548111748882
fourier,ebitda_gr1a,9.028984391382739e-05
fourier,ebit_gr1a,0.00011787019050946887
fourier,ni_gr1a,0.000129672506955103
fourier,nix_gr1a,0.00012546496003778884
fourier,dp_gr1a,0.00012065385821188103
fourier,ocf_gr1a,6.534138396697623e-05
fourier,dltnetis_gr1a,0.00011262180178164268
fourier,dbnetis_gr1a,0.00016993712876380102
fourier,xido_at,0.00013222127690823985
fourier,ebitda_sale,0.00010782616331804699
fourier,pi_sale,7.4232513828368e-05
fourier,ni_sale,7.031663587137397e-05
fourier,nix_sale,6.983092339093372e-05
fourier,ocf_sale,7.367155198153342e-05
fourier,ebitda_at,5.25686298048337e-05
fourier,ebit_at,6.509707933825362e-05
fourier,fi_at,9.031382995393262e-05
fourier,ni_at,5.2440557374211495e-05
fourier,nix_be,4.5716856432894317e-05
fourier,ocf_be,0.00010064681726362324
fourier,ebitda_bev,5.989693015483983e-05
fourier,fi_bev,0.00010605436628490377
fourier,ebitda_ppen,7.54448813737933e-05
fourier,dltnetis_at,7.56536380201093e-05
fourier,dstnetis_at,0.00016296414246122972
fourier,be_bev,5.0060902901047174e-05
fourier,debt_bev,6.416780030122026e-05
fourier,cash_bev,8.970032534610555e-05
fourier,debtlt_bev,0.00013025631189520935
fourier,debtst_bev,7.665229347063967e-05
fourier,ebitda_debt,0.00010090994500690912
fourier,ocf_debt,0.00012866280262339083
fourier,cash_lt,0.0001257567466867234
fourier,debtst_debt,0.0001551714967717998
fourier,debtlt_debt,0.0001431966908300334
fourier,lt_ppen,9.157837153907165e-05
fourier,debtlt_be,7.250434026597453e-05
fourier,debt_at,8.444218149331089e-05
fourier,debt_be,4.500320164273338e-05
fourier,ebit_int,9.159521798816665e-05
fourier,sale_be,8.799895881869212e-05
fourier,cash_me,0.00013030934715061446
fourier,ebitda_me,0.00027489192934202335
fourier,ebit_me,0.00015287487143117077
fourier,ope_me,0.00019989093513383225
fourier,nix_me,0.00015801399991081176
fourier,at_mev,0.00010589378684016993
fourier,ppen_mev,9.408576929369395e-05
fourier,be_mev,6.701380343050309e-05
fourier,cash_mev,8.785903214932963e-05
fourier,sale_mev,0.0002205514507901777
fourier,ebit_mev,0.00013830504361976633
fourier,ocf_mev,0.00016206532416011517
fourier,debt_mev,9.721180392565051e-05
fourier,debtlt_mev,7.398468088164616e-05
fourier,debtst_mev,0.0001480711910456497
fourier,dltnetis_mev,5.1911963182647015e-05
fourier,dstnetis_mev,0.00014372849434342546
fourier,dbnetis_mev,0.00010640992900637987
linear,market_equity,0.00021353959755894417
linear,chcsho_1m,0.00017369958397466691
linear,chcsho_3m,0.00018169513910834203
linear,chcsho_6m,0.0002317519697923369
linear,chcsho_12m,0.00025655928737251083
linear,eqnpo_1m,0.00011975080434543392
linear,eqnpo_3m,9.077790287847164e-05
linear,eqnpo_6m,0.00011898702109344109
linear,eqnpo_12m,0.0002352503755779859
linear,ret_1_0,7.371788028346296e-05
linear,ret_3_1,9.498051944926072e-05
linear,ret_6_1,6.649898367565281e-05
linear,ret_9_1,9.915242455463159e-05
linear,ret_12_1,5.667253313731634e-05
linear,ret_12_7,9.239705319487257e-05
linear,ret_2_0,8.2423944331822e-05
linear,ret_3_0,9.678295954169397e-05
linear,ret_6_0,7.194613201136232e-05
linear,ret_9_0,8.694124069734244e-05
linear,ret_12_0,4.548871317335094e-05
linear,ret_18_1,8.527977914733733e-05
linear,ret_24_1,0.00011904080838576192
linear,ret_24_12,0.00010729755010591666
linear,ret_36_1,7.80024043160665e-05
linear,ret_36_12,0.00010441459811166472
linear,seas_1_1an,6.37833493965445e-05
linear,seas_1_1na,7.485118834059295e-05
linear,ivol_capm_21d,0.00012316543123233714
linear,ivol_capm_252d,0.00020942289074203776
linear,iskew_capm_21d,0.00010040380163142493
linear,rvol_21d,8.87229722441892e-05
linear,rvol_252d,0.00019689461141145632
linear,rvolhl_21d,0.00018223020185056764
linear,rmax1_21d,0.00010520765429949582
linear,rmax5_21d,8.485904046513799e-05
linear,rmax5_rvol_21d,0.0001552429641985023
linear,rskew_21d,9.168529675055954e-05
linear,coskew_21d,7.314220540441358e-05
linear,beta_21d,8.376824903583235e-05
linear,beta_252d,0.00012576844104235838
linear,beta_dimson_21d,6.266052843784563e-05
linear,betadown_252d,0.0001230484671001856
linear,ami_126d,0.0001253573141305727
linear,dolvol_126d,8.93138296851248e-05
linear,dolvol_var_126d,0.00010113632051798044
linear,turnover_126d,3.825242401944707e-05
linear,turnover_var_126d,9.597841891566832e-05
linear,zero_trades_21d,5.054717799794161e-05
linear,zero_trades_126d,4.314974573693082e-05
linear,zero_trades_252d,6.631920347596557e-05
linear,bidaskhl_21d,0.00017400488136142182
linear,prc_highprc_252d,0.00011175577462078462
linear,age,0.00010631310346070678
linear,mispricing_mgmt,0.00018310901637354018
linear,mispricing_perf,0.00024175205267965797
linear,at_gr1,9.779031050129561e-05
linear,sale_gr1,0.00011410184676909318
linear,inv_gr1a,0.00010947783210819273
linear,fnl_gr1a,0.00019225946942848772
linear,nfna_gr1a,7.266840842930832e-05
linear,tax_gr1a,0.0001790987355100999
linear,be_gr1a,9.696486311440822e-05
linear,ebit_sale,7.082850371868213e-05
linear,ope_be,8.085158081181968e-05
linear,ni_be,6.779467450542143e-05
linear,ebit_bev,5.1642788809355506e-05
linear,dbnetis_at,9.888317277727767e-05
linear,at_turnover,8.459778229735095e-05
linear,sale_bev,9.597703261533752e-05
linear,cash_at,6.41984346505827e-05
linear,op_atl1,0.00011952197073696879
linear,ocf_at,6.124907096212457e-05
linear,op_at,7.496916752643301e-05
linear,ocf_at_chg1,9.556709456470951e-05
linear,at_be,0.00012895676502618398
linear,at_me,0.00019169154790385308
linear,be_me,0.00016709980346301257
linear,debt_me,6.995946571502525e-05
linear,netdebt_me,5.5075212400576365e-05
linear,sale_me,0.00015085808974011649
linear,ni_me,0.00013331741374713598
linear,ocf_me,0.00015069397750873276
linear,bev_mev,4.7359672310752404e-05
linear,ebitda_mev,7.784999385573125e-05
linear,qmj_prof,0.00017277127512594842
linear,qmj_safety,0.00015239124282137101
linear,lt_gr1,7.449006128202503e-05
linear,be_gr1,0.0001117310417733582
linear,cash_gr1a,0.0001927582414646167
linear,debtst_gr1a,0.0002526232666423312
linear,ap_gr1a,7.709112060789872e-05
linear,debtlt_gr1a,0.0001258689184154112
linear,fna_gr1a,0.00021140285648774205
linear,ebitda_gr1a,9.24530347886806e-05
linear,ebit_gr1a,0.00014744514153183745
linear,ni_gr1a,0.00010696932138065071
linear,nix_gr1a,9.879962848572176e-05
linear,dp_gr1a,7.430629497321205e-05
linear,ocf_gr1a,0.0001291697963461047
linear,dltnetis_gr1a,0.00022028120474715243
linear,dbnetis_gr1a,0.00013571321051131238
linear,xido_at,0.00019896844852458645
linear,ebitda_sale,9.012587303004692e-05
linear,pi_sale,5.6838314004987e-05
linear,ni_sale,7.385969849565297e-05
linear,nix_sale,7.338892132490097e-05
linear,ocf_sale,8.290503476625115e-05
linear,ebitda_at,7.934998100002606e-05
linear,ebit_at,5.884225568782616e-05
linear,fi_at,8.508540586869155e-05
linear,ni_at,4.3292385598761036e-05
linear,nix_be,6.789833322424482e-05
