n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,split,vol_regime,period
19289,-0.021612140499371147,0.003691831213047281,0.06462580822505765,-0.10093731759945196,0.025438534106149047,0.8543713145480871,0.8627175973609773,-0.03649833688812703,-0.11799772982515987,-0.1112494670411528,0.764363749066429,-0.002168644980555761,linear,2024-07-31,test,low,late
19353,-0.05338673425496992,0.01912941427005177,0.09675409510999988,-0.17661252994430993,0.07718404474084739,0.8501142552697971,0.8605672446126396,-0.07738987012316113,-0.1905074127742738,-0.18208331227310345,0.765942892053362,-0.00435401925947975,linear,2024-08-31,test,high,late
19391,-0.019793951871035508,0.003752755908212446,0.012383395495876387,-0.03689389043080526,0.006873127680068203,0.872159238051915,0.8759230344075143,-0.025886479009114182,-0.05279752496183682,-0.05007533399477041,0.7610410245262866,-0.0019470160623022567,linear,2024-09-30,test,low,late
19391,0.015933650402403528,0.0025951830023701605,0.030325122582229292,-0.016535998807304192,0.0032731573641407996,0.870311636298889,0.8754192837601183,0.11593991163892395,0.09113125832474923,0.09438191289672554,0.7590902160217701,-0.0010391751868722696,linear,2024-10-31,test,low,late
19405,0.017503478096199974,0.003038960312759631,0.04220402822822556,-0.028614368847899977,0.005108747894194687,0.8632219100590355,0.8680960596169447,0.12811306771946168,0.10390695739123186,0.10708603440206027,0.7593357182046796,-0.000577446045406491,linear,2024-11-30,test,low,late
19472,-0.018796135616577454,0.0028342904515599177,0.022748230418032138,-0.04815477553273426,0.007591188729916154,0.8627257748581084,0.8698367820126671,-0.0032992180215050586,-0.024404218708283697,-0.022879843737217125,0.7645068158732874,0.0025857444370380764,linear,2024-12-31,test,low,late
19522,-0.02430641608811608,0.004699799326567833,-0.006278700234356529,-0.020668703858055314,0.005512769611738522,0.8722228533323159,0.8841971242531295,-0.03373511252016772,-0.033581356240093806,-0.03307299116963335,0.7615634623446552,-0.003160654859934793,linear,2025-01-31,test,low,late
19574,-0.01901956453849838,0.002459744899383498,-0.036366158303616475,0.020197848806270357,0.003187643118426342,0.8588337268732881,0.8691491953562689,-0.03469593168822787,0.004741793434799912,0.0013775149274845141,0.7664495438002197,-0.0030250715378835297,linear,2025-02-28,test,high,late
19600,-0.03382949470992361,0.007011585512689433,-0.022757801257141882,-0.012980632077942852,0.007292888439945133,0.8529394706126384,0.8660404594475221,-0.06678626205823408,-0.04533947279232658,-0.048029079345190163,0.772873273002815,-0.0034864259172141475,linear,2025-03-31,test,high,late
19679,-0.0481075681511752,0.013511484377369598,-0.061186508407726777,0.015158352662259823,0.013854283692435576,0.8628206869147624,0.8725815928484425,-0.12252734472055846,-0.07435666098265067,-0.07909764285886287,0.7604826217650551,0.00016546154721367693,linear,2025-04-30,test,high,late
19682,-0.03142305567618244,0.006227354532581275,-0.06359251181192171,0.03840319075938693,0.009001897648035273,0.8376766487265179,0.8489118913295376,-0.06288358164517022,0.005119355264322759,-0.000879689527474902,0.7697787455460965,-0.00021125278596527647,linear,2025-05-31,test,high,late
19659,-0.021289513422781577,0.002755185516352454,-0.06866245053260073,0.05862840191456171,0.010007792789044734,0.8080202694052496,0.8255846758332978,-0.01410994924591878,0.07320636871569904,0.06574461625868218,0.7644112906680369,-0.0006990299932218331,linear,2025-06-30,test,high,late
13909,0.008603270825295077,0.0005419064167342391,-0.006138523782625454,0.036473609271583725,0.00869070717296383,0.40417701736428874,0.6516947527035172,0.01116016618315063,0.09887667866830785,0.08841103104259182,0.9989349707645488,-0.0005100324727823018,per_feature,2016-01-31,val,high,early
13868,-0.00611140176125526,0.0002521531747062822,-0.027134383072585977,0.05025706092733289,0.014320405340313758,0.418309008194847,0.656147393393077,-0.046858256543598494,0.08894389162537636,0.06735331508299057,0.9989766634657112,-0.0006221757312944166,per_feature,2016-02-29,val,high,early
13962,0.024271300115458385,0.004856966665047868,0.006257224705247189,0.0438684404288577,0.01804806262689218,0.41063861021911413,0.6567238282482097,0.09124985005387223,0.16227798753146974,0.15435415104343506,0.9989227097224856,-0.0007006846810984648,per_feature,2016-03-31,val,low,early
13946,0.03220795996510715,0.008124737704867768,0.01179389764460375,0.047207347554046916,0.022315087555644708,0.43243400398853543,0.6690793720696812,0.10006570778678557,0.1604263476656396,0.1548690910864504,0.9988062711043357,-0.0006958786622747559,per_feature,2016-04-30,val,low,early
