variant,seed,epoch,train_loss,train_main,train_aux,val_loss,val_corr_6m,val_base_corr_6m,val_path2_corr_6m,best_epoch,stopped_epoch,gap_loss
fourier,0,13,0.48428920772488393,0.3409591581812348,0.5210668199878138,0.6261724905421336,0.11173849218175747,0.07591956384324779,0.10644401017343626,10,25,0.1418832828172497
fourier,0,14,0.3943569528517343,0.24711768437687387,0.5767361990077743,0.7784295679380496,0.11512270886451006,0.07572241301337877,0.11234130455801884,10,25,0.38407261508631535
fourier,0,15,0.6246721022189521,0.49002160561110714,0.45232817611164167,1.1083442497377594,0.11534253804711625,0.06534047207484643,0.11142160639865324,10,25,0.48367214751880727
fourier,0,16,0.34971791598576285,0.22217700528330894,0.48260482504531227,1.2128970983748635,0.10965058701597931,0.07300900317689714,0.10523004984715953,10,25,0.8631791823891006
fourier,0,17,0.31227896160017404,0.18900513767733665,0.5050153486534487,0.9638671265294154,0.10846422193571925,0.07008989777532407,0.1033412561577279,10,25,0.6515881649292414
fourier,0,18,0.2616384310651541,0.15337313986177983,0.4434206869956388,1.2492805250609915,0.12026751943243047,0.07207751869379232,0.11489025618260106,10,25,0.9876420939958375
fourier,0,19,0.34694367420253536,0.20099904596179838,0.6365584605571438,0.8417137285073598,0.11633753837862362,0.08873804010023983,0.10892056510783732,10,25,0.49477005430482446
fourier,0,20,0.29441042781423127,0.17965071649306288,0.4643473193176009,0.6514690319697062,0.11887889388793459,0.08033084165072069,0.1134037524772187,10,25,0.3570586041554749
fourier,0,21,0.2864146799529119,0.17194046631892065,0.45617200196276525,0.7260841322441896,0.10354653979302383,0.08122785346252688,0.09590777559108878,10,25,0.43966945229127763
fourier,0,22,0.4244933863187076,0.2980129630162313,0.4147663883019006,0.8695738775034746,0.11349953689690058,0.08482793792985224,0.10578140245440106,10,25,0.445080491184767
fourier,0,23,0.23055501059824896,0.12387152086135858,0.4391915573500777,0.9203672627452761,0.1171101615143319,0.08270706397597678,0.11066594000537104,10,25,0.6898122521470271
fourier,0,24,0.19967083116098944,0.10888851848006709,0.3896950604186988,0.9070521375785271,0.11329891355708241,0.08356400170402291,0.10644033881835639,10,25,0.7073813064175376
fourier,0,25,0.16551314777785187,0.07122962821414436,0.41696086561228546,0.9980712112660209,0.11326095373369753,0.08405309575221812,0.1059629480044047,10,25,0.8325580634881691
fourier,1,1,1.0642331370285578,0.7643301012419489,1.0007456046721293,0.7096474369366964,0.12650334916543216,0.09285019524007415,0.1264861498416091,12,27,-0.3545857000918614
fourier,1,2,0.6733702947459523,0.419934189379097,0.9957594509635653,0.8518165957182646,0.13178402567282319,0.08685476755381387,0.13181306729093195,12,27,0.1784463009723123
fourier,1,3,0.593946911985912,0.3504737243711427,0.9995296781971341,0.7647894440839688,0.12180868095407883,0.09801826725403467,0.12181839123368263,12,27,0.17084253209805678
fourier,1,4,0.5194601631826825,0.2792571702091933,0.993545159934059,0.8137378402054309,0.13069215654095387,0.1098313861216108,0.13070259544523044,12,27,0.29427767702274843
fourier,1,5,0.4628765658726768,0.2414720864281303,0.9699135013515987,0.8935185154279073,0.1257060424890369,0.09941810220868016,0.12573971153857808,12,27,0.4306419495552305
fourier,1,6,0.4250895037123608,0.23895156564490946,0.8037009526132828,1.0444513053943714,0.11958087667201957,0.09285360316280275,0.11925097362448772,12,27,0.6193618016820106
fourier,1,7,0.46762034121072954,0.29162169718640707,0.7473437123905265,1.0156721236805122,0.11652346363989637,0.0882165223127231,0.11638239651413945,12,27,0.5480517824697826
fourier,1,8,0.3723987166415013,0.22501011551417788,0.6189024082743412,1.1861757686676961,0.10954031705429466,0.08826814175893863,0.10754284005452064,12,27,0.8137770520261949
fourier,1,9,0.3699777696093652,0.23365690033636252,0.5684203959491343,1.3097143673337996,0.1229047748784069,0.08965690278758605,0.12087879376485944,12,27,0.9397365977244345
fourier,1,10,0.4390903584019739,0.3044491315422059,0.49911166789957856,1.1817775001749395,0.13735853150331725,0.09685316804486016,0.13593387343765548,12,27,0.7426871417729657
fourier,1,11,0.3285334174233001,0.19580269939015196,0.5363906024805536,1.3502130935589471,0.12450910158416567,0.09215489833150059,0.12063747477950529,12,27,1.021679676135647
fourier,1,12,0.4679621671075149,0.34329392328982067,0.49038419642324915,0.8519120721922566,0.12310320993419736,0.08452980984002352,0.12022557494201465,12,27,0.3839499050847417
