variant,trial_number,n_epochs_trained,best_epoch,best_epoch_fraction,final_gap_loss,mean_gap_loss_last_quarter
fourier,50,16,8,0.5,0.533797326647041,0.6325214780137194
linear,1,16,8,0.5,1.8616298282692683,1.26880920180406
linear,2,26,2,0.07692307692307693,0.5428492346867206,1.360637384118936
linear,3,14,2,0.14285714285714285,0.6296232710282008,0.6532877670285641
linear,4,17,1,0.058823529411764705,0.8649891800073433,0.4195226468765343
linear,5,18,10,0.5555555555555556,0.5445310465939757,0.5368359398943121
linear,6,14,3,0.21428571428571427,0.8034384587328762,0.8333762124762254
linear,7,15,7,0.4666666666666667,-0.45200094606889973,-0.44423852939042874
linear,8,16,8,0.5,0.7800119230617022,0.8020972488265431
linear,9,14,3,0.21428571428571427,3.254093864335427,4.363003275801937
linear,10,14,3,0.21428571428571427,10.48852006534617,8.314039278101353
linear,11,16,1,0.0625,1.2126905583436527,1.1715593773088169
linear,12,15,7,0.4666666666666667,4.678320623276522,3.3357261191719325
linear,13,6,3,0.5,0.6286098510366938,0.6286098510366938
linear,14,14,6,0.42857142857142855,1.130723771488758,1.152068186099686
linear,15,14,1,0.07142857142857142,3.7145143603358144,2.839281824859883
linear,16,20,12,0.6,3.9920154677226307,1.7879565345697614
linear,17,21,13,0.6190476190476191,0.0994983104959366,0.07126162544898093
linear,18,28,20,0.7142857142857143,0.4016375897777458,0.5676020709210647
linear,19,6,1,0.16666666666666666,0.2704426272875733,0.2704426272875733
linear,20,21,2,0.09523809523809523,3.3212548275561797,3.889593199743466
linear,21,15,3,0.2,1.5496547655489792,1.6432624948945849
linear,22,14,1,0.07142857142857142,1.441265375010987,1.2591377273217341
linear,23,14,1,0.07142857142857142,1.4410452527758602,1.8032028638063433
linear,24,22,14,0.6363636363636364,0.5742309015011415,1.0786737367869095
linear,25,20,1,0.05,1.8625901362330226,2.1667978097629246
linear,26,22,14,0.6363636363636364,1.3499353082954055,1.1066605151684528
linear,27,6,3,0.5,1.1148569483827386,1.1148569483827386
linear,28,14,3,0.21428571428571427,1.1981523436375907,1.5525085695187695
linear,29,6,3,0.5,0.7914309663735034,0.7914309663735034
linear,30,17,2,0.11764705882352941,1.3629352081993906,1.2326416362642905
linear,31,9,8,0.8888888888888888,0.29212604993658653,0.20465009104347762
linear,32,30,1,0.03333333333333333,4.259714876158932,4.168741621086517
linear,33,20,1,0.05,1.8279523495156025,1.771991735088994
linear,34,6,1,0.16666666666666666,6.104702388775713,6.104702388775713
linear,35,33,1,0.030303030303030304,0.8792796251091956,0.8743094068332293
linear,36,21,1,0.047619047619047616,1.7782184911169305,2.4527165438007983
linear,37,16,2,0.125,-0.5340185628701299,0.08705308690282787
linear,38,19,1,0.05263157894736842,-0.1804408700811484,0.4810536162953616
linear,39,32,1,0.03125,1.9089586913862842,1.802544551689195
linear,40,14,1,0.07142857142857142,4.724843558365394,2.9848530855902937
linear,41,15,7,0.4666666666666667,0.6937405865384441,1.0119393070964462
linear,42,26,18,0.6923076923076923,0.8851690996463211,0.7615645007176984
linear,43,17,9,0.5294117647058824,3.561477431431431,4.550364283997116
linear,44,29,21,0.7241379310344828,2.017339098376027,1.5401118258829511
linear,45,15,2,0.13333333333333333,1.8359991154351665,1.652415727967644
linear,46,6,3,0.5,1.4387334144238149,1.4387334144238149
linear,47,20,3,0.15,3.103126368830826,2.7109108572174003
linear,48,14,4,0.2857142857142857,0.18009067460421546,0.17295894336605833
linear,49,6,4,0.6666666666666666,2.7273174850536246,2.7273174850536246
linear,50,15,7,0.4666666666666667,5.481559003632708,4.22042999751531
per_feature,1,21,13,0.6190476190476191,1.1336688136929527,0.851366062195018
per_feature,2,19,11,0.5789473684210527,16.645176069183083,11.946160381962176
per_feature,3,16,8,0.5,-0.07980327003724152,-0.08114958736428335
per_feature,4,16,1,0.0625,0.7331498250616568,0.7034212231011471
per_feature,5,31,1,0.03225806451612903,1.084284215600374,0.9784024171866951
per_feature,6,21,13,0.6190476190476191,0.8776994391301065,0.8318406738241577
per_feature,7,15,2,0.13333333333333333,0.42899635707116923,0.35951019043876514
per_feature,8,24,16,0.6666666666666666,1.555968264098989,1.2379078067228888
per_feature,9,23,15,0.6521739130434783,0.7228114385839685,0.7963375802767982
per_feature,10,14,1,0.07142857142857142,-0.8734265960812095,-0.6268336423657952
per_feature,11,14,3,0.21428571428571427,1.3463274770994702,1.387766085730135
per_feature,12,6,1,0.16666666666666666,0.9223433134633872,0.9223433134633872
per_feature,13,18,3,0.16666666666666666,0.2855806621767225,0.40490506035127927
per_feature,14,15,7,0.4666666666666667,0.6779321332373435,0.6709910071528857
per_feature,15,6,1,0.16666666666666666,0.5075718052803526,0.5075718052803526
per_feature,16,14,1,0.07142857142857142,-0.022419614474924687,0.019346118186201428
per_feature,17,25,1,0.04,0.9448306416656584,1.0077334445895672
per_feature,18,16,2,0.125,1.182395457784139,1.0824796482306926
per_feature,19,20,1,0.05,4.149508909715546,4.194057733066794
per_feature,20,16,4,0.25,0.8085117831197937,0.7684884381705955
per_feature,21,18,1,0.05555555555555555,1.1037000181419507,1.4693999056674778
per_feature,22,26,1,0.038461538461538464,1.652230128496197,1.4669440384122179
per_feature,23,17,9,0.5294117647058824,1.0058505540259097,0.923469963119807
per_feature,24,7,2,0.2857142857142857,0.48500792934579606,0.48500792934579606
per_feature,25,17,2,0.11764705882352941,0.894181811464544,0.92203475907572
per_feature,26,15,3,0.2,2.2627307586297984,2.0303237300499206
per_feature,27,7,1,0.14285714285714285,-0.01529109116554972,-0.01529109116554972
per_feature,28,6,3,0.5,0.2918967599906619,0.2918967599906619
per_feature,29,17,1,0.058823529411764705,2.2323965566909116,1.8578601971353654
per_feature,30,9,1,0.1111111111111111,0.6329418404286522,0.6157858176750043
per_feature,31,6,1,0.16666666666666666,0.6320556341596539,0.6320556341596539
per_feature,32,7,5,0.7142857142857143,0.06434428675602821,0.06434428675602821
per_feature,33,14,5,0.35714285714285715,1.0256171607257176,0.62199100616866
per_feature,34,9,3,0.3333333333333333,0.9931445645406796,1.573425480109983
per_feature,35,7,5,0.7142857142857143,0.16522863209247585,0.16522863209247585
per_feature,36,14,6,0.42857142857142855,0.5917611334568984,0.6496232887658553
