variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_periodic_num_freq,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
periodic,10,0.9041910993285023,2026-07-13 17:02:10.963597,2026-07-13 17:07:51.043619,0 days 00:05:40.080022,2,128,0.3881194732072677,0.1610513229076044,0.47811686171122336,0.4787847505560598,5.291665012272583e-05,1,256,2,2,16,0.008783135252683521,0.10574448300370326,0.1496499097828443,11.0,0.14989198182399074,0.625491347400442,1.6661748672525087,,,,,,,19,0.9041910993285023,COMPLETE
periodic,11,1.5491108660388835,2026-07-13 17:07:51.159502,2026-07-13 17:10:16.125341,0 days 00:02:24.965839,4,64,0.3841457012962111,3.3483921431438706,0.3286208115818682,0.22870687104010595,0.0014602170263444203,2,512,2,1,16,0.002555639268658863,0.11845667385496199,0.1226958091603592,6.0,0.11208927648452421,0.6544315147524079,0.9453869325419267,,,,,,,14,1.5491108660388835,COMPLETE
periodic,12,0.34417675424779504,2026-07-13 17:10:16.242732,2026-07-13 17:13:12.414461,0 days 00:02:56.171729,2,64,0.34032848812157956,3.4515891162228964,0.3040221858512905,0.24643005763869036,0.004928756860769279,3,512,2,1,16,0.0033366784890605334,0.10708611961260127,-0.03213830078748288,9.0,-0.04671525615558494,2.185003927627963,1.681471811234951,,,,,,,17,0.34417675424779504,COMPLETE
periodic,13,1.121965195046337,2026-07-13 17:13:12.530375,2026-07-13 17:16:39.278610,0 days 00:03:26.748235,4,64,0.3095704986863366,3.206073553481776,0.28165613615293006,0.10385175245531582,0.0007568565756775347,2,512,2,1,16,0.000803883696174786,0.11673851269685352,0.12754154497136672,12.0,0.12609456426386412,0.36083627329207957,0.8058055701355139,,,,,,,20,1.121965195046337,COMPLETE
periodic,14,-0.13029475869283116,2026-07-13 17:16:39.394523,2026-07-13 17:22:11.412381,0 days 00:05:32.017858,4,128,0.3935141106055865,1.1450883445924998,0.4038973102119866,0.3937243027997998,0.001964977371321611,3,512,4,1,16,0.0007570497672146784,0.11012446416231493,0.015424323788223167,13.0,0.007796799515684446,3.1356399837467404,1.917069364587466,,,,,,,21,-0.13029475869283116,COMPLETE
periodic,15,1.4651899142678984,2026-07-13 17:22:11.527196,2026-07-13 17:25:46.879875,0 days 00:03:35.352679,2,128,0.23519907762780337,3.7323308323352644,0.25610727997448357,0.24427167880222267,0.00048393396167173826,2,128,1,2,16,0.0013642487064051366,0.12138655388650174,0.13822220951939623,6.0,0.13643175916125377,0.6457091307504073,1.1153743050992488,,,,,,,14,1.4651899142678984,COMPLETE
periodic,16,0.3900120984320408,2026-07-13 17:25:46.994541,2026-07-13 17:30:06.363954,0 days 00:04:19.369413,4,64,0.16572491284433447,4.857260600866666,0.18045275709621708,0.27852880338001457,0.002105726958469045,3,512,2,1,16,0.0001859601186581157,0.07558244882190289,0.08680375319284697,17.0,0.08421826291596517,1.98918966203928,1.3977993061145146,,,,,,,25,0.3900120984320408,COMPLETE
periodic,17,0.8209331019782983,2026-07-13 17:30:06.480255,2026-07-13 17:33:59.336016,0 days 00:03:52.855761,2,128,0.33810659559953476,0.2755834026983134,0.3293444067302427,0.39872410245388235,0.0006162375326390512,1,128,1,1,16,0.0037640265309158596,0.10920421433014174,0.134710908223254,11.0,0.13633127430609118,0.5370862368653189,1.1845601581037044,,,,,,,19,0.8209331019782983,COMPLETE
periodic,18,0.028002418331743682,2026-07-13 17:33:59.452031,2026-07-13 17:35:17.582961,0 days 00:01:18.130930,4,64,0.2673932240530885,2.929397403307921,0.4057077214772594,0.19877727089767744,0.0019793985450361757,2,512,2,2,16,0.00031850204368148645,,,,,,,0.1177657866346029,0.028002418331743682,6.0,0.0230185968723769,1.5425894906123478,56.378902301937345,6,,PRUNED
periodic,19,1.20171574014974,2026-07-13 17:35:17.699423,2026-07-13 17:38:51.627292,0 days 00:03:33.927869,2,96,0.3983804063244024,1.023747594536458,0.1969860747609032,0.14969938800618549,0.00011276635302181951,3,256,4,1,16,0.009932703473659175,0.09097481014517446,0.14118667476759583,7.0,0.14103599840309472,0.47810830270487165,0.8957389098902543,,,,,,,15,1.20171574014974,COMPLETE
periodic,20,1.5179154287233487,2026-07-13 17:38:51.741393,2026-07-13 17:43:13.004332,0 days 00:04:21.262939,4,128,0.1442495697281499,4.0456446668568065,0.26003192431393113,0.22761808031060965,0.000868809687346764,2,512,2,2,32,6.249902674022824e-05,0.12951152140740305,0.13177603281704553,8.0,0.12175192963331938,1.159336959237292,1.5109692437574267,,,,,,,16,1.5179154287233487,COMPLETE
periodic,21,0.1263500961504178,2026-07-13 17:43:13.120808,2026-07-13 17:45:42.403655,0 days 00:02:29.282847,4,128,0.01010222379883799,4.505194220181286,0.24923587361313457,0.22765176760128691,0.0008484828570059594,2,512,2,2,32,6.217903870484753e-05,,,,,,,0.11888191931745193,0.1263500961504178,8.0,0.12599339320052724,0.7154000444459685,1.8872243316223225,8,,PRUNED
periodic,22,2.3120619289311795,2026-07-13 17:45:42.519499,2026-07-13 17:50:22.342756,0 days 00:04:39.823257,4,128,0.16428203098815441,3.878214915393338,0.2959860079579903,0.26577247698158696,0.0004615999058624633,2,512,2,2,32,1.2852996711651218e-05,0.12319940578502914,0.14581783702597023,7.0,0.14625148181803524,0.9726460203011003,0.8742806102459629,,,,,,,15,2.3120619289311795,COMPLETE
periodic,23,1.5791039750346307,2026-07-13 17:50:22.461524,2026-07-13 17:53:39.007842,0 days 00:03:16.546318,4,128,0.15920861244357506,2.8048895763250665,0.37855958894812924,0.28043289395691373,0.0004385239801425432,1,512,2,1,32,1.1585467792110509e-05,0.12361643053930796,0.1305854034377262,6.0,0.12543621691002044,0.7637046656778289,1.883694591683646,,,,,,,14,1.5791039750346307,COMPLETE
periodic,24,1.4690471528714237,2026-07-13 17:53:39.122548,2026-07-13 17:58:05.568261,0 days 00:04:26.445713,4,128,0.14683759848836522,2.616277342589632,0.41362136360286406,0.280775593056769,0.00038848255233983505,1,512,2,1,32,1.1475712007904876e-05,0.10927998014667537,0.14206734797917306,11.0,0.14616396984007832,0.2879507984441247,1.0545001053561767,,,,,,,19,1.4690471528714237,COMPLETE
periodic,25,1.4111835729845787,2026-07-13 17:58:05.683878,2026-07-13 18:01:49.355107,0 days 00:03:43.671229,4,128,0.18392242663006117,4.997034827422786,0.36396366353726195,0.3320857847714408,0.00012932288667373012,1,128,1,2,32,1.048794925518158e-05,0.10137967185776992,0.1354919338482432,6.0,0.13585940204041738,0.6882938328125174,1.4118031526605288,,,,,,,14,1.4111835729845787,COMPLETE
periodic,26,1.2335906227166593,2026-07-13 18:01:49.469929,2026-07-13 18:05:05.979356,0 days 00:03:16.509427,2,128,0.11447829731492293,3.8034836548200315,0.29542804077348134,0.39514821874120043,0.00044963276314356835,1,512,2,1,32,7.435655301305407e-07,0.12034880094773447,0.13010615412689125,6.0,0.11583468923345208,0.5721317500408206,1.6611984173456829,,,,,,,14,1.2335906227166593,COMPLETE
