variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_ple_num_bins,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
ple,10,1.5263853573145116,2026-08-02 01:56:38.394098,2026-08-02 02:02:07.819667,0 days 00:05:29.425569,2,64,0.16357257089534455,3.5160639018664632,0.47854974292315244,0.4787847505560598,0.0005651374857238426,1,256,2,2,16,0.008143494124376541,0.10596960186958312,0.12878498324813942,15.0,0.12262715644513568,0.49219388473180253,1.1499589428926507,,,,,,,23,1.5263853573145116,COMPLETE
ple,11,1.7843084335221782,2026-08-02 02:02:07.933269,2026-08-02 02:08:48.681166,0 days 00:06:40.747897,2,96,0.14581319962402114,3.170820606499529,0.4826307194671494,0.37581464044825685,0.00010479567903782024,1,256,4,2,16,1.3997019360806797e-07,0.13209241154933504,0.1403549809862549,11.0,0.13078745172776204,0.30917004866909886,1.12804141951104,,,,,,,19,1.7843084335221782,COMPLETE
ple,12,0.10337268880878886,2026-08-02 02:08:48.794330,2026-08-02 02:15:42.455554,0 days 00:06:53.661224,2,64,0.2638961632369219,3.0824434604849698,0.3113153896707155,0.37529180478007984,0.0006052551691621782,2,256,4,2,16,1.1633263858100054e-07,,,,,,,0.10266062607212613,0.10337268880878886,21.0,0.10320329915072458,0.16365701601598487,1.231118748957912,21,,PRUNED
ple,13,1.6272711994175477,2026-08-02 02:15:42.570950,2026-08-02 02:20:38.125005,0 days 00:04:55.554055,2,96,0.024132698366759908,1.235703410414467,0.4146511487079994,0.3573732851918237,0.0001959963004344313,1,256,4,2,16,3.263362431260175e-07,0.1304500099349146,0.1419646406226093,6.0,0.1375767373945564,0.8197733979627845,1.0225872741391262,,,,,,,14,1.6272711994175477,COMPLETE
ple,14,0.02780525842681527,2026-08-02 02:20:38.238857,2026-08-02 02:22:51.350886,0 days 00:02:13.112029,2,96,0.13475030370278612,2.551509915100648,0.30001804323606174,0.4229128923780585,0.0005591210338541963,2,512,4,3,16,4.901929059750519e-07,,,,,,,0.11734482952548812,0.02780525842681527,6.0,0.02614152804793169,1.4743367950653745,2.585364299515883,6,,PRUNED
ple,15,1.392809903101641,2026-08-02 02:22:51.464384,2026-08-02 02:26:15.210299,0 days 00:03:23.745915,2,64,0.31026613371946793,0.9883246818191915,0.42213794343891664,0.33823113208457545,0.001330507200597356,1,128,1,2,16,1.0029264190483224e-07,0.10435344294916528,0.12511466372137267,10.0,0.12192211899285516,0.5435620651696809,0.949146723250548,,,,,,,18,1.392809903101641,COMPLETE
ple,16,0.5910277443817165,2026-08-02 02:26:15.324414,2026-08-02 02:31:55.013348,0 days 00:05:39.688934,2,64,0.3851386145499033,2.5658966226376614,0.2640881690357239,0.4238507307977386,0.00035078036017533907,2,256,4,3,16,5.76738530828759e-07,0.08641905717086047,0.08314685017879432,8.0,0.08122035784181207,0.898932208727476,0.9553807243704796,,,,,,,16,0.5910277443817165,COMPLETE
ple,17,1.5913895587050648,2026-08-02 02:31:55.129157,2026-08-02 02:35:02.305838,0 days 00:03:07.176681,2,96,0.19201280959634393,3.707836131144181,0.38668763056036737,0.24935653306206101,0.00010608453719732789,1,128,4,1,8,7.580597453393194e-06,0.12388707540618876,0.1514960694340213,6.0,0.15009943954646587,0.6438863336936467,0.7742429805919528,,,,,,,14,1.5913895587050648,COMPLETE
ple,18,-0.0384078958518027,2026-08-02 02:35:02.417767,2026-08-02 02:36:00.402339,0 days 00:00:57.984572,2,64,0.11513251586377533,4.98760215955677,0.438363077009676,0.32854786449595863,0.004468929485291332,2,256,1,2,16,7.638334562609738e-07,,,,,,,0.09236043936107308,-0.0384078958518027,6.0,-0.039226790176083645,1.6774568439476074,1.8498825699090957,6,,PRUNED
ple,19,1.0305515832588334,2026-08-02 02:36:00.513691,2026-08-02 02:40:44.729082,0 days 00:04:44.215391,2,96,0.3216074740553379,1.387149480399332,0.10557413832085828,0.40402289883874853,5.5554436721517975e-05,1,512,2,3,16,6.8255508162742276e-06,0.10300112869978571,0.1322638007812202,6.0,0.13169985562562941,0.5346834929512133,1.3164010673761368,,,,,,,14,1.0305515832588334,COMPLETE
